"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
73,http://transamericanautoparts.local/category/door-handle-covers/,"Door Handle Covers",door-handle-covers,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-13736,,,,,,,,,
74,http://transamericanautoparts.local/category/door-hinges/,"Door Hinges",door-hinges,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-1377,,,,,,,,,
75,http://transamericanautoparts.local/category/door-panel/,"Door Panel",door-panel,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-10034,,,,,,,,,
76,http://transamericanautoparts.local/category/billet-door-surround-knobs/,"Billet Door Surround Knobs",billet-door-surround-knobs,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1440212,,,,,,,,,
77,http://transamericanautoparts.local/category/door-trim-panel/,"Door Trim Panel",door-trim-panel,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-10006,,,,,,,,,
78,http://transamericanautoparts.local/category/soft-upper-half-door-bracket/,"Soft Upper Half Door Bracket",soft-upper-half-door-bracket,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130163,,,,,,,,,
79,http://transamericanautoparts.local/category/door/,Door,door,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-1376,,,,,,,,,
80,http://transamericanautoparts.local/category/door-latch-parts/,"Door Latch Parts",door-latch-parts,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-10748,,,,,,,,,
81,http://transamericanautoparts.local/category/door-storage/,"Door Storage",door-storage,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-15038,,,,,,,,,
82,http://transamericanautoparts.local/category/door-skin/,"Door Skin",door-skin,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-19126,,,,,,,,,
