ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Product Categories",Status,Slug,Order,"Comment Status","Ping Status","Post Modified Date","Product Group ID","Product Group Name","Category ID","Category Name","Subcategory ID","Subcategory Name","Part Type ID","Part Type Name","SubPart ID","SupPart Name","Long Description","Sales Description","Product Categories"
21907,"Pro Comp Tie Rod Reinforcing Sleeves",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-tie-rod-reinforcing-sleeves/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-tie-rod-reinforcing-sleeves,0,open,open,"2021-06-29 11:32:12",9480,"Pro Comp Tie Rod Reinforcing Sleeves",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",4wp-us-15316,"Tie Rod Reinforcing Sleeve",,,"Tie Rod Reinforcing Sleeve; For Level Lift;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","These Tie Rod Reinforcing Sleeve's are designed to replace your week factory tie rod alignment sleeve to allow your steering to better the stresses resulting in the installation of larger off road tires","Suspension>Suspension Accessories"
21908,"Pro Comp Steering Arms",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-steering-arms/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-steering-arms,0,open,open,"2021-06-29 11:32:13",9477,"Pro Comp Steering Arms",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",4wp-us-7492,"Steering Arm",,,"Steering Arm; 4 in. Drop;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","When lifted, the drag link attachment point needs to be moved down to reduce link angle, creating the need for a drop steering arm.; Steering Arm; 4 in. Drop; Steering correction","Suspension>Suspension Accessories"
21909,"Pro Comp Steering Knuckles",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-steering-knuckles/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-steering-knuckles,0,open,open,"2021-06-29 11:37:59",prod1690001,"Pro Comp Steering Knuckles",4wp-us-C65,"Brakes & Steering",4wp-us-SC430,"Performance Steering Upgrades",4wp-us-7496,"Steering Knuckle",,,,,"Suspension>Suspension Accessories"
21910,"Pro Comp Crawler Bumpers",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-crawler-bumpers/,,,,,,,,DISCO>DISCO,publish,pro-comp-crawler-bumpers,0,open,open,"2021-06-29 11:31:58",9441,"Pro Comp Crawler Bumpers",4wp-us-C64,"Bumpers, Tire Carriers & Winch Mounts",cat1130347,Bumpers,4wp-us-1340,"Front Bumpers",,,"Gloss Black powder coat finish;Constructed with 1/4 inch plate steel;Designed for high departure and approach angles;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Constructed with 1/4 inch plate steel, these bumpers are designed for high departure and approach angles. The 1/4 inch plate steel helps slide your Jeep over boulders, rocks and stumps.",DISCO>DISCO
21911,"Pro Comp Suspension Jeep Crawler Rear Bumpers",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-jeep-crawler-rear-bumpers/,,,,,,,,DISCO>DISCO,publish,pro-comp-suspension-jeep-crawler-rear-bumpers,0,open,open,"2021-06-29 11:35:58",prod790104,"Pro Comp Suspension Jeep Crawler Rear Bumpers",4wp-us-C64,"Bumpers, Tire Carriers & Winch Mounts",cat1130347,Bumpers,4wp-us-48046,"Rear Bumpers",,,"Pro Comp Jeep rear bumper in a gloss black powder coat finish;Constructed with 1/4 inch plate steel;A Wrangler rear bumper designed for high departure and approach angles;Available with and without d-rings;With 2 inch receiver (Not rated for towing);<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Constructed with 1/4 inch plate steel, these bumpers are designed for high departure and approach angles. The 1/4 inch plate steel helps slide your Jeep over boulders, rocks and stumps. Gloss black powder coat finish.",DISCO>DISCO
21912,"Pro Comp Carrier Bearing Drop Brackets",,,"2021-06-18 20:33:56",product-group,http://transamericanautoparts.local/products/pro-comp-carrier-bearing-drop-brackets/,,,,,,,,"Suspension>Suspension Accessories",publish,pro-comp-carrier-bearing-drop-brackets,0,open,open,"2021-06-29 11:22:42",9420,"Pro Comp Carrier Bearing Drop Brackets",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC101,"Suspension Accessories",cat1450088,"Carrier Bearing Drop",,,"Driveline Alignment Shim Kit; For Trucks w/Two pc. Rear Drive Shafts;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Procomp's Driveline Alignment Kit is for lifted Trucks with a 2 piece driveshaft.They will need to have the carrier bearing spaced down.Use this Procomp Driveline Alignment Shim Kit.","Suspension>Suspension Accessories"
21913,"Pro Comp CV-Style Drive Shafts",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-cv-style-drive-shafts/,,,,,,,,"Suspension>Drive Shafts &amp; Components",publish,pro-comp-cv-style-drive-shafts,0,open,open,"2021-06-29 11:32:10",9428,"Pro Comp CV-Style Drive Shafts",4wp-us-C12,"Drivetrain & Differential",4wp-us-SC515,"Drive Shafts & Drive Shaft Components",4wp-us-2308,"Drive Shafts",,,"Front CV axle half shafts",,"Suspension>Drive Shafts &amp; Components"
21914,"Pro Comp Drive Shafts",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-drive-shafts/,,,,,,,,"Suspension>Drive Shafts &amp; Components",publish,pro-comp-drive-shafts,0,open,open,"2021-06-29 11:32:19",9452,"Pro Comp Drive Shafts",4wp-us-C12,"Drivetrain & Differential",4wp-us-SC515,"Drive Shafts & Drive Shaft Components",4wp-us-2308,"Drive Shafts",,,"For vehicles with 0-4? of lift;1314 style u-joints;2 x .120"" DOM steel tube;<b>California Residents: <a href=""/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp Suspension?s new U-joint style drive shaft?s are the perfect upgrade for 2007 - 2008 Jeep JK 4WD vehicles with 2? or more of lift. When lifted, the driveline angles are increased, which increases the potential for driveline vibration. Pro Comp U-joint style drive shaft?s will allow for vehicle operation in 4WD at speeds above 25 mph. The factory drive shaft ball and cage design joint is replaced with #1310 style u-joints to allow for a stronger engagement, increase the range of motion, and improve seal and driveline life. Exclusive yokes, not flange adapters, are used to allow for a longer drive shaft, unlike our competitors versions. Pro Comp Suspension front drive shaft?s are constructed from 2.00? x 0.120? DOM (drawn-over-mandrel) steel tube. Kits come complete with necessary mounting hardware.","Suspension>Drive Shafts &amp; Components"
21915,"Pro Comp Suspension Front Drive Shaft Upgrade Kits",,,"2021-06-18 20:33:43",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-front-drive-shaft-upgrade-kits/,,,,,,,,"Suspension>Drive Shafts &amp; Components",publish,pro-comp-suspension-front-drive-shaft-upgrade-kits,0,open,open,"2021-06-29 11:22:40",9439,"Pro Comp Suspension Front Drive Shaft Upgrade Kits",4wp-us-C12,"Drivetrain & Differential",4wp-us-SC515,"Drive Shafts & Drive Shaft Components",4wp-us-2308,"Drive Shafts",,,"Front Driveshaft Upgrade Kit;Installation Hardware;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp Suspension Procomp Front Driveshaft Upgrade Kit","Suspension>Drive Shafts &amp; Components"
21916,"Pro Comp Degree Shims",,,"2021-06-18 20:33:59",product-group,http://transamericanautoparts.local/products/pro-comp-degree-shims/,,,,,,,,"Suspension>Leaf Springs",publish,pro-comp-degree-shims,0,open,open,"2021-06-29 11:38:56",9322,"Pro Comp Degree Shims",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC101,"Suspension Accessories",4wp-us-18224,"Leaf Spring Axle Shim",,,"Degree shim;Sold as a pair;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Degree shims are constructed of alloy aluminum designed to help align driveline angles when lighted springs are used.","Suspension>Leaf Springs"
